,County,Latitude,Longitude
274,"Wyoming County, Pennsylvania",41.514739500000005,-76.00068055
275,"York County, Pennsylvania",39.973021450000005,-76.68805735000001
276,"Accomack County, Virginia",37.738247900000005,-75.70144644999999
277,"Albemarle County, Virginia",38.00029,-78.52365144999999
278,"Alleghany County, Virginia",37.77854295,-79.95415550000001
279,"Amelia County, Virginia",37.34512455,-77.9448295
280,"Amherst County, Virginia",37.5999244,-79.15227999999999
281,"Appomattox County, Virginia",37.3771969,-78.806439
282,"Arlington County, Virginia",38.880816499999995,-77.10215604999999
283,"Augusta County, Virginia",38.179715400000006,-79.14130355
284,"Bath County, Virginia",38.05531094999999,-79.74636695
285,"Bedford County, Virginia",37.31201945,-79.52068
286,"Bland County, Virginia",37.127347900000004,-81.1584199
287,"Botetourt County, Virginia",37.555082999999996,-79.7861514
288,"Brunswick County, Virginia",36.78434555,-77.85102194999999
289,"Buchanan County, Virginia",37.288083549999996,-82.02739989999999
290,"Buckingham County, Virginia",37.5632195,-78.53654355
291,"Campbell County, Virginia",37.227975400000005,-79.13354645
292,"Caroline County, Virginia",38.0145195,-77.35603850000001
293,"Carroll County, Virginia",36.74480645,-80.7480645
294,"Charles City County, Virginia",37.35712695,-77.0715749
295,"Charlotte County, Virginia",36.973334,-78.67395295
296,"Chesterfield County, Virginia",37.389812449999994,-77.56129440000001
297,"Clarke County, Virginia",39.1220065,-77.99006895
298,"Craig County, Virginia",37.48759545,-80.222319
299,"Culpeper County, Virginia",38.503713950000005,-77.9253525
300,"Cumberland County, Virginia",37.52549295,-78.26867245
301,"Dickenson County, Virginia",37.13107745000001,-82.34488145
302,"Dinwiddie County, Virginia",37.072361349999994,-77.6474914
303,"Essex County, Virginia",37.94531805,-76.91914094999998
304,"Fairfax County, Virginia",38.8313105,-77.2890399
305,"Fauquier County, Virginia",38.711432,-77.8308815
306,"Floyd County, Virginia",36.916103050000004,-80.36919985
307,"Fluvanna County, Virginia",37.8483535,-78.27702395
308,"Franklin County, Virginia",37.0069125,-79.91387499999999
309,"Frederick County, Virginia",39.23694795,-78.28858195
310,"Giles County, Virginia",37.31457689999999,-80.7239249
311,"Gloucester County, Virginia",37.418244900000005,-76.50840249999999
312,"Goochland County, Virginia",37.7336579,-77.88787245
313,"Grayson County, Virginia",36.6827825,-81.2576735
314,"Greene County, Virginia",38.330132449999994,-78.474546
315,"Greensville County, Virginia",36.72147095000001,-77.53199599999999
316,"Halifax County, Virginia",36.8015155,-78.88393295
317,"Hanover County, Virginia",37.772267049999996,-77.45241444999999
318,"Henrico County, Virginia",37.5311826,-77.41600790000001
319,"Henry County, Virginia",36.69903855,-79.86789655
320,"Highland County, Virginia",38.38596695,-79.5591574
321,"Isle of Wight County, Virginia",36.898938550000004,-76.68778655
322,"James City County, Virginia",37.3104515,-76.746769
323,"King and Queen County, Virginia",37.70173895,-76.916164
324,"King George County, Virginia",38.27107645,-77.1726144
325,"King William County, Virginia",37.71392945,-77.06135295
326,"Lancaster County, Virginia",37.71314495,-76.4099464
327,"Lee County, Virginia",36.74349095,-83.22336150000001
328,"Loudoun County, Virginia",39.085482999999996,-77.64419939999999
329,"Louisa County, Virginia",37.94112495,-77.9969805
330,"Lunenburg County, Virginia",36.948129,-78.2483334
331,"Madison County, Virginia",38.42863895,-78.26778755000001
332,"Mathews County, Virginia",37.410290450000005,-76.29410254999999
333,"Mecklenburg County, Virginia",36.71607995,-78.38384295
334,"Middlesex County, Virginia",37.6443,-76.446014
335,"Montgomery County, Virginia",37.17413445,-80.39569835
336,"Nelson County, Virginia",37.79160335,-78.906353
337,"New Kent County, Virginia",37.50227595,-76.98852049999999
338,"Northampton County, Virginia",37.273986550000004,-75.869138
339,"Northumberland County, Virginia",37.852316099999996,-76.40511705
340,"Nottoway County, Virginia",37.13944345,-78.01763994999999
341,"Orange County, Virginia",38.25523695,-78.0364929
342,"Page County, Virginia",38.625819,-78.4881195
343,"Patrick County, Virginia",36.707307549999996,-80.3336185
344,"Pittsylvania County, Virginia",36.83910645,-79.40355944999999
345,"Powhatan County, Virginia",37.55326095,-77.89301755
346,"Prince Edward County, Virginia",37.238095,-78.46189145
347,"Prince George County, Virginia",37.1570385,-77.18582104999999
348,"Prince William County, Virginia",38.721874,-77.4672899
349,"Pulaski County, Virginia",37.0619559,-80.72289194999999
350,"Rappahannock County, Virginia",38.69285055,-78.13688694999999
351,"Richmond County, Virginia",37.95141495,-76.7229084
352,"Roanoke County, Virginia",37.2652955,-80.05084545
353,"Rockbridge County, Virginia",37.8094959,-79.41604344999999
354,"Rockingham County, Virginia",38.52841145,-78.855172
355,"Russell County, Virginia",36.9259275,-82.0935859
356,"Scott County, Virginia",36.7395335,-82.63948205
357,"Shenandoah County, Virginia",38.8537734,-78.58490995
358,"Smyth County, Virginia",36.82637095,-81.54923095
359,"Southampton County, Virginia",36.769999999999996,-77.15842895
360,"Spotsylvania County, Virginia",38.184632,-77.66256000000001
361,"Stafford County, Virginia",38.4173619,-77.46073344999999
362,"Surry County, Virginia",37.0964754,-76.89883549999999
363,"Sussex County, Virginia",36.909845950000005,-77.2862876
364,"Tazewell County, Virginia",37.1355566,-81.56344645
365,"Warren County, Virginia",38.896631549999995,-78.19542444999999
366,"Washington County, Virginia",36.761596499999996,-81.968712
367,"Westmoreland County, Virginia",38.1218024,-76.79025744999998
368,"Wise County, Virginia",37.0009036,-82.58861644999999
369,"Wythe County, Virginia",36.91551295,-81.05995494999999
370,"York County, Virginia",37.23601645,-76.4455155
371,"Alexandria city, Virginia",38.815113499999995,-77.09082344999999
372,"Bedford city, Virginia",37.33578955,-79.5233319
373,"Bristol city, Virginia",36.635756900000004,-82.17322695000001
374,"Buena Vista city, Virginia",37.728649000000004,-79.35506655
375,"Charlottesville city, Virginia",38.04008745,-78.4849739
376,"Chesapeake city, Virginia",36.708498,-76.278525
377,"Colonial Heights city, Virginia",37.265852949999996,-77.39694345000001
378,"Covington city, Virginia",37.7809145,-79.9875105
379,"Danville city, Virginia",36.59267945,-79.41094195
380,"Emporia city, Virginia",36.6961285,-77.535302
381,"Fairfax city, Virginia",38.852244400000004,-77.30183794999999
382,"Falls Church city, Virginia",38.8860207,-77.17232005
383,"Franklin city, Virginia",36.677899499999995,-76.9395529
384,"Fredericksburg city, Virginia",38.298345,-77.48988705
385,"Galax city, Virginia",36.6606465,-80.9136475
386,"Hampton city, Virginia",37.023001550000004,-76.29245895000001
387,"Harrisonburg city, Virginia",38.439310500000005,-78.87118240000001
388,"Hopewell city, Virginia",37.28762695,-77.29507495
389,"Lexington city, Virginia",37.780120350000004,-79.4384326
390,"Lynchburg city, Virginia",37.400942,-79.17850605
391,"Manassas city, Virginia",38.74465895,-77.48709385000001
392,"Manassas Park city, Virginia",38.770823899999996,-77.4496255
393,"Martinsville city, Virginia",36.67957105,-79.86516789999999
394,"Newport News city, Virginia",37.075667949999996,-76.50385144999998
395,"Norfolk city, Virginia",36.9308215,-76.23972045
396,"Norton city, Virginia",36.930199,-82.6259119
397,"Petersburg city, Virginia",37.204782449999996,-77.39277845000001
398,"Poquoson city, Virginia",37.14734095,-76.27430555
399,"Portsmouth city, Virginia",36.868560450000004,-76.355165
400,"Radford city, Virginia",37.12033085,-80.55168205
401,"Richmond city, Virginia",37.52466095,-77.49326145
402,"Roanoke city, Virginia",37.27432195,-79.95754249999999
403,"Salem city, Virginia",37.288464,-80.06692645
404,"Staunton city, Virginia",38.15927545,-79.06291049999999
405,"Suffolk city, Virginia",36.7461174,-76.66525139999999
406,"Virginia Beach city, Virginia",36.795669450000005,-76.0126285
407,"Waynesboro city, Virginia",38.06516249999999,-78.90328695
408,"Williamsburg city, Virginia",37.2786604,-76.70342199999999
409,"Winchester city, Virginia",39.1678515,-78.16884195
410,"Barbour County, West Virginia",39.125078450000004,-80.0179824
411,"Berkeley County, West Virginia",39.442726949999994,-78.02628
412,"Boone County, West Virginia",37.9971055,-81.71703995
413,"Braxton County, West Virginia",38.7060175,-80.73688394999999
414,"Brooke County, West Virginia",40.279319,-80.60013294999999
415,"Cabell County, West Virginia",38.4133846,-82.27740299999999
416,"Calhoun County, West Virginia",38.828582,-81.13221594999999
417,"Clay County, West Virginia",38.4657775,-81.050648
418,"Doddridge County, West Virginia",39.27084644999999,-80.7197419
419,"Fayette County, West Virginia",38.041317449999994,-81.064793
420,"Gilmer County, West Virginia",38.913649449999994,-80.83125644999998
421,"Grant County, West Virginia",39.07059305,-79.23353639999999
422,"Greenbrier County, West Virginia",37.97559604999999,-80.42701349999999
423,"Hampshire County, West Virginia",39.314162350000004,-78.6594278
424,"Hancock County, West Virginia",40.516234049999994,-80.59282295
425,"Hardy County, West Virginia",38.99951845,-78.82121395
426,"Harrison County, West Virginia",39.285204,-80.38534394999999
427,"Jackson County, West Virginia",38.82487400000001,-81.70661705
428,"Jefferson County, West Virginia",39.3159146,-77.87719249999999
429,"Kanawha County, West Virginia",38.2968179,-81.5546549
430,"Lewis County, West Virginia",38.9458955,-80.51456795
431,"Lincoln County, West Virginia",38.160209949999995,-82.05392739999999
432,"Logan County, West Virginia",37.8332039,-81.9024009
433,"McDowell County, West Virginia",37.3752749,-81.6538895
434,"Marion County, West Virginia",39.51426055,-80.21851935
435,"Marshall County, West Virginia",39.8771105,-80.69460649999999
436,"Mason County, West Virginia",38.752182950000005,-81.99727800000001
437,"Mercer County, West Virginia",37.41639495,-81.1058035
438,"Mineral County, West Virginia",39.44294495,-78.96445785
439,"Mingo County, West Virginia",37.74310195,-82.108023
440,"Monongalia County, West Virginia",39.57850895,-80.09300495
441,"Monroe County, West Virginia",37.55202945,-80.5397249
442,"Morgan County, West Virginia",39.543606,-78.24551450000001
443,"Nicholas County, West Virginia",38.318388999999996,-80.83407495
444,"Ohio County, West Virginia",40.10128290000001,-80.62906595
445,"Pendleton County, West Virginia",38.684692500000004,-79.353564
446,"Pleasants County, West Virginia",39.37237985,-81.18965695
447,"Pocahontas County, West Virginia",38.387960500000005,-79.9905855
448,"Preston County, West Virginia",39.45809145,-79.68815294999999
449,"Putnam County, West Virginia",38.475369549999996,-81.8804925
450,"Raleigh County, West Virginia",37.748929000000004,-81.2244585
